,center_id,player_id,location,delta_goal_kick,team,x,y
4062,"[32216, 10125]",32216.0,"[57.2, 52.3]",3.0,France Women's,57.2,52.3
4100,"[32216, 10125]",32216.0,"[53.3, 49.6]",4.0,France Women's,53.3,49.6
8792,"[10119, 225394]",225394.0,"[49.0, 16.8]",3.0,Iceland Women's,49.0,16.8
10120,"[15789, 87185, 10088]",15789.0,"[44.5, 74.5]",4.0,Denmark Women's,44.5,74.5
11872,"[10165, 10155]",10165.0,"[62.9, 57.6]",4.0,Spain Women's,62.9,57.6
12337,"[32143, 10162]",10162.0,"[56.7, 41.8]",3.0,Portugal Women's,56.7,41.8
16109,"[10399, 25491]",10399.0,"[49.3, 24.4]",4.0,Germany Women's,49.3,24.4
25069,"[10119, 225394]",225394.0,"[63.9, 28.6]",1.0,Iceland Women's,63.9,28.6
25988,"[10230, 4633]",10230.0,"[48.9, 40.4]",4.0,Sweden Women's,48.9,40.4
26122,"[10165, 10155]",10165.0,"[46.2, 65.2]",4.0,Spain Women's,46.2,65.2
29012,"[10261, 25491]",25491.0,"[74.7, 14.6]",4.0,Germany Women's,74.7,14.6
29016,"[10261, 25491]",25491.0,"[74.7, 14.6]",4.0,Germany Women's,74.7,14.6
30182,"[10261, 25491]",10261.0,"[54.6, 34.2]",1.0,Germany Women's,54.6,34.2
30635,"[10647, 62951]",10647.0,"[51.7, 38.5]",3.0,Netherlands Women's,51.7,38.5
31854,"[4642, 18999]",4642.0,"[49.7, 64.1]",4.0,England Women's,49.7,64.1
35769,"[4642, 18999]",4642.0,"[66.9, 50.9]",3.0,England Women's,66.9,50.9
35770,"[4642, 18999]",4642.0,"[64.6, 50.9]",3.0,England Women's,64.6,50.9
43504,"[10371, 10208]",10371.0,"[50.4, 52.6]",3.0,Italy Women's,50.4,52.6
48995,"[10261, 25491]",25491.0,"[52.3, 13.0]",4.0,Germany Women's,52.3,13.0
50002,"[10395, 4636]",10395.0,"[65.1, 39.3]",3.0,Norway Women's,65.1,39.3
51492,"[10165, 10155]",10165.0,"[112.3, 46.2]",4.0,Spain Women's,112.3,46.2
51510,"[10165, 10155]",10165.0,"[112.7, 46.8]",4.0,Spain Women's,112.7,46.8
52254,"[15789, 87185, 10088]",15789.0,"[71.0, 75.4]",4.0,Denmark Women's,71.0,75.4
52255,"[15789, 87185, 10088]",15789.0,"[71.0, 75.4]",4.0,Denmark Women's,71.0,75.4
59214,"[10241, 43038]",43038.0,"[33.4, 32.2]",1.0,Austria Women's,33.4,32.2
59233,"[10241, 43038]",43038.0,"[32.6, 33.7]",2.0,Austria Women's,32.6,33.7
59267,"[10241, 43038]",10241.0,"[26.8, 37.8]",4.0,Austria Women's,26.8,37.8
61476,"[15789, 87185, 10088]",15789.0,"[56.6, 77.7]",4.0,Denmark Women's,56.6,77.7
61480,"[15789, 87185, 10088]",15789.0,"[56.6, 77.7]",4.0,Denmark Women's,56.6,77.7
69620,"[4642, 18999]",4642.0,"[48.9, 29.8]",4.0,England Women's,48.9,29.8
69646,"[10165, 10155]",10155.0,"[49.1, 9.9]",3.0,Spain Women's,49.1,9.9
69648,"[10165, 10155]",10155.0,"[50.1, 11.4]",3.0,Spain Women's,50.1,11.4
70758,"[10165, 10155]",10155.0,"[57.9, 22.7]",4.0,Spain Women's,57.9,22.7
72952,"[15789, 87185, 10088]",15789.0,"[56.7, 71.8]",4.0,Denmark Women's,56.7,71.8
74197,"[18999, 10252]",18999.0,"[49.9, 62.7]",2.0,England Women's,49.9,62.7
74293,"[276906, 276897]",276906.0,"[45.4, 68.8]",2.0,Belgium Women's,45.4,68.8
74353,"[26093, 4633]",26093.0,"[59.7, 57.1]",4.0,Sweden Women's,59.7,57.1
74369,"[26093, 4633]",26093.0,"[55.6, 55.5]",4.0,Sweden Women's,55.6,55.5
75503,"[10395, 276304]",276304.0,"[69.7, 22.7]",1.0,Norway Women's,69.7,22.7
77221,"[10395, 4636]",4636.0,"[51.3, 40.0]",3.0,Norway Women's,51.3,40.0
77245,"[10395, 4636]",4636.0,"[53.9, 40.6]",4.0,Norway Women's,53.9,40.6
82818,"[10230, 4633]",4633.0,"[49.5, 31.2]",4.0,Sweden Women's,49.5,31.2
82945,"[10371, 10208]",10208.0,"[64.2, 39.7]",3.0,Italy Women's,64.2,39.7
82948,"[10371, 10208]",10208.0,"[64.2, 39.7]",3.0,Italy Women's,64.2,39.7
82972,"[10371, 10208]",10208.0,"[65.7, 39.7]",4.0,Italy Women's,65.7,39.7
85412,"[10271, 10125]",10271.0,"[58.0, 51.0]",3.0,France Women's,58.0,51.0
88505,"[18999, 10252]",10252.0,"[61.7, 49.8]",3.0,England Women's,61.7,49.8
90445,"[10371, 10208]",10208.0,"[67.0, 27.8]",3.0,Italy Women's,67.0,27.8
93063,"[10230, 4633]",10230.0,"[50.6, 40.4]",4.0,Sweden Women's,50.6,40.4
93066,"[10230, 4633]",10230.0,"[50.6, 40.4]",4.0,Sweden Women's,50.6,40.4
93069,"[10230, 4633]",10230.0,"[48.4, 39.5]",4.0,Sweden Women's,48.4,39.5
93157,"[10399, 25491]",25491.0,"[62.8, 6.1]",0.0,Germany Women's,62.8,6.1
93199,"[10399, 25491]",25491.0,"[58.4, 6.1]",2.0,Germany Women's,58.4,6.1
94606,"[10230, 4633]",4633.0,"[55.8, 34.1]",3.0,Sweden Women's,55.8,34.1
96875,"[10271, 10125]",10125.0,"[30.7, 41.1]",1.0,France Women's,30.7,41.1
96909,"[10271, 10125]",10271.0,"[30.9, 19.4]",3.0,France Women's,30.9,19.4
96941,"[10271, 10125]",10271.0,"[33.0, 18.0]",4.0,France Women's,33.0,18.0
97146,"[4642, 18999]",18999.0,"[63.9, 16.0]",3.0,England Women's,63.9,16.0
101113,"[4642, 18999]",4642.0,"[55.4, 51.2]",3.0,England Women's,55.4,51.2
